;text
158;['mah', 'jadi', 'tersangka', 'kasu', 'hacker', 'bjorka', 'sim', 'card', 'selul', 'diamankan']
159;['kira', 'begitulah']
160;['apakah', 'kau', 'renkarnasi', 'uchiha', 'itachi', 'sob', 'yang', 'memporakporanda', 'kebusukan', 'pasukan', 'danzo', 'dkk', 'semoga', 'tuhan', 'memberimu', 'kesehatan', 'dan', 'keberkahan', 'ata', 'kebaikanmu', 'alfatihah']
161;['baru', 'baca', 'mah', 'yg', 'orang', 'madiun', 'ini', 'ditangkap', 'bukan', 'sebagai', 'bjorka', 'namun', 'penyedia', 'akun', 'telegram', 'bjorkan', 'nah', 'pertanyaannya', 'dia', 'kirim', 'post', 'di', 'tele', 'itu', 'dapat', 'bahan', 'darimana', 'si', 'bjorka', 'hubungi', 'dia', 'lewat', 'apa']
162;['padah', 'saya', 'mmg', 'perlu', 'tapi', 'gpp', 'mungkin', 'emang', 'kakaknya', 'ga', 'bisa', 'trimakasih']
163;['marvel', 'menangi', 'melihat', 'ini']
164;['heboh', 'bjorka', 'ditangkap', 'di', 'madiun', 'begini', 'penjelasan', 'polri', 'belum', 'disimpulkan', 'masih', 'didalami', 'timsu']
165;['diduga', 'bjorka', 'mah', 'sudah', 'boleh', 'pulang', 'cek', 'selengkapnya']
166;['halo', 'dana', 'saya', 'kemarin', 'tanggal', 'septemb', 'melakukan', 'upgrad', 'akun', 'dari', 'akun', 'biasa', 'menjadi', 'akun', 'premium', 'biar', 'bisa', 'memakai', 'fasilita', 'lebih', 'dari', 'aplikasi', 'dana', 'dan', 'itu', 'berhasil', 'tapi', 'kenapa', 'hari', 'ini', 'tibatiba', 'akun', 'saya', 'jadi', 'akun', 'biasa', 'lagi']
167;['promo', 'septemb', 'ceria', 'miliki', 'mobil', 'honda', 'sekarang', 'ini', 'juga', 'hot', 'deal', 'dp', 'jutaan', 'hanya', 'di', 'honda', 'auto', 'serang', 'banten', 'info', 'honda']
168;['jadi', 'tersangka', 'keterlibatan', 'hacker', 'bjorka', 'mah', 'si', 'penjual', 'es', 'tak', 'ditahan', 'polisi', 'ini', 'alasannya']
169;['penjual', 'es', 'di', 'madiun', 'ditetapkan', 'sebagai', 'tersangka', 'karena', 'keterlibatannya', 'dengan', 'hacker', 'bjorka']
170;['ditangkap', 'dipulangin', 'ditangkap', 'lagi', 'dipulangin', 'lagi', 'ditangkap', 'lagi', 'gitu', 'aja', 'teru', 'sampai', 'bujorka', 'ganti', 'nama', 'jadi', 'pak', 'jorka', 'lawak', 'banget', 'soalnya']
171;['pria', 'yang', 'ditangkap', 'di', 'madiun', 'ditetapkan', 'tersangka']
