,Topic,Word,P
691,2,sedang,0.0030152707
692,2,denni,0.0030002187
693,2,nih,0.0029891387
694,2,nomor,0.002984643
695,2,mau,0.0029765652
696,2,waktu,0.002971421
697,2,telegram,0.0029374964
698,2,cepat,0.0028741814
699,2,sih,0.002873958
700,2,pemerintahan,0.002851477
701,2,link,0.0028316877
702,2,bbm,0.0027976127
703,2,mereka,0.0027665978
704,2,menteri,0.0027508053
705,2,milik,0.0027395063
706,2,blm,0.0027123538
707,2,g,0.002674526
708,2,dr,0.0025966754
709,2,kadrun,0.0025951797
710,2,identita,0.0025758797
711,2,udh,0.0025361055
712,2,buzzer,0.0025318698
713,2,diduga,0.0025191482
714,2,gua,0.0025003422
715,2,updat,0.0024760577
716,2,para,0.0024639252
717,2,iya,0.0024629538
718,2,ketemu,0.002462446
719,2,padah,0.0024572748
720,2,ga,0.002424428
721,2,kalian,0.0023720788
722,2,malah,0.0023428965
723,2,dapet,0.002324535
724,2,gk,0.0023185357
725,2,wa,0.0023121235
726,2,harga_bbm,0.00226603
727,2,itu,0.002251275
728,2,sambo,0.002245454
729,2,gw,0.0022401216
730,2,kemunculan,0.0021998351
731,2,tengah,0.0021819966
732,2,jawa,0.0021570923
733,2,tidak,0.0021543666
734,2,lainnya,0.0021315166
735,2,k,0.002123481
736,2,x,0.002116316
737,2,ketarketir,0.0021148839
738,2,madiun,0.0020987636
739,2,oleh,0.0020916106
740,2,kek,0.002089407
741,2,harga,0.0020815174
742,2,akan,0.0020805781
743,2,saja,0.0020789928
744,2,tak,0.002075651
745,2,kali,0.0020592215
746,2,nama,0.0020328104
747,2,masih,0.0020318523
748,2,berani,0.002014836
749,2,pak,0.0019247741
750,2,munir,0.0019007603
751,2,lanjutkan,0.0018883614
752,2,dgn,0.001880181
753,2,disini,0.0018634788
754,2,gitu,0.001858038
755,2,klo,0.0018561875
756,2,kepada,0.0018406466
757,2,buka,0.0018373358
758,2,kasu_sambo,0.0018259393
759,2,it,0.001813239
760,2,membantu,0.0017749344
761,2,negeri,0.0017495425
762,2,tele,0.0017463756
763,2,booster,0.0017351406
764,2,bikin,0.0017193048
765,2,selengkapnya,0.0017176102
766,2,setelah,0.0017115631
767,2,beneran,0.001683759
768,2,shope,0.0016641384
769,2,satu,0.0016628023
770,2,lupa,0.0016426524
771,2,teh,0.0016292323
772,2,sabar,0.0016121478
773,2,aksi,0.0016085536
